id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Blinding Lights,The Weeknd,synthwave,moody,0.80,171,0.33,0.51,0.00
2,Shape of You,Ed Sheeran,pop,happy,0.65,96,0.93,0.83,0.08
3,Lose Yourself,Eminem,hip-hop,intense,0.63,86,0.39,0.69,0.12
4,Bohemian Rhapsody,Queen,rock,moody,0.40,72,0.41,0.39,0.09
5,One More Time,Daft Punk,edm,euphoric,0.96,123,0.82,0.92,0.01
6,Clair de Lune,Debussy,classical,peaceful,0.08,91,0.21,0.22,0.99
7,Smells Like Teen Spirit,Nirvana,rock,intense,0.90,117,0.57,0.57,0.00
8,Rolling in the Deep,Adele,pop,intense,0.84,105,0.74,0.73,0.10
9,September,Earth Wind & Fire,r&b,happy,0.82,126,0.97,0.84,0.01
10,Levitating,Dua Lipa,pop,euphoric,0.82,103,0.87,0.70,0.01
11,Old Town Road,Lil Nas X,country,confident,0.67,136,0.76,0.94,0.09
12,Redbone,Childish Gambino,r&b,romantic,0.38,99,0.56,0.73,0.21
13,Mr. Brightside,The Killers,indie pop,moody,0.90,148,0.53,0.47,0.00
14,Watermelon Sugar,Harry Styles,pop,happy,0.80,95,0.87,0.55,0.13
15,Somebody That I Used to Know,Gotye,indie pop,nostalgic,0.59,129,0.50,0.59,0.18
16,Africa,Toto,pop,nostalgic,0.46,92,0.72,0.49,0.09
17,Dreams,Fleetwood Mac,rock,relaxed,0.57,120,0.72,0.71,0.04
18,Hotline Bling,Drake,r&b,romantic,0.37,135,0.86,0.84,0.12
19,Breathe,Pink Floyd,ambient,peaceful,0.24,60,0.56,0.44,0.36
20,Creep,Radiohead,indie pop,melancholic,0.49,93,0.44,0.50,0.09
21,Lights (Single Version),Ellie Goulding,pop,happy,0.75,115,0.75,0.75,0.2
22,Choosin' Texas,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
23,Man I Need,Olivia Dean,pop,happy,0.75,115,0.75,0.75,0.2
24,I Just Might,Bruno Mars,pop,happy,0.75,115,0.75,0.75,0.2
25,Be Her,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
26,Ordinary,Alex Warren,pop,happy,0.75,115,0.75,0.75,0.2
27,So Easy (To Fall In Love),Olivia Dean,pop,happy,0.75,115,0.75,0.75,0.2
28,Stateside,PinkPantheress,pop,happy,0.75,115,0.75,0.75,0.2
29,Folded,Kehlani,r&b,romantic,0.6,85,0.75,0.7,0.4
30,Swim,BTS,pop,happy,0.75,115,0.75,0.75,0.2
31,The Fate Of Ophelia,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
32,Risk It All,Bruno Mars,pop,happy,0.75,115,0.75,0.75,0.2
33,Yukon,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
34,Where Is My Husband!,RAYE,pop,happy,0.75,115,0.75,0.75,0.2
35,Dracula,Tame Impala,indie pop,moody,0.65,118,0.62,0.68,0.35
36,Sleepless In A Hotel Room,Luke Combs,country,nostalgic,0.55,96,0.65,0.6,0.7
37,Opalite,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
38,Daisies,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
39,Babydoll,Dominic Fike,indie pop,moody,0.65,118,0.62,0.68,0.35
40,Bottom Of Your Boots,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
41,Loving Life Again,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
42,Iloveitiloveitiloveit,Bella Kay,r&b,romantic,0.6,85,0.75,0.7,0.4
43,E85,Don Toliver,hip-hop,confident,0.75,95,0.7,0.85,0.15
44,Be By You,Luke Combs,country,nostalgic,0.55,96,0.65,0.6,0.7
45,Homewrecker,sombr,pop,happy,0.75,115,0.75,0.75,0.2
46,Beauty And A Beat,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
47,Dandelion,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
48,Pinky Up,KATSEYE,pop,happy,0.75,115,0.75,0.75,0.2
49,The Fall,Cody Johnson,country,nostalgic,0.55,96,0.65,0.6,0.7
50,Body,Don Toliver,hip-hop,confident,0.75,95,0.7,0.85,0.15
51,Pop Dat Thang,DaBaby,hip-hop,confident,0.75,95,0.7,0.85,0.15
52,Change My Mind,Riley Green,country,nostalgic,0.55,96,0.65,0.6,0.7
53,White Keys,Dominic Fike,indie pop,moody,0.65,118,0.62,0.68,0.35
54,Let 'Em Know,T.I.,hip-hop,confident,0.75,95,0.7,0.85,0.15
55,I Ain't Coming Back,Morgan Wallen,country,nostalgic,0.55,96,0.65,0.6,0.7
56,Fever Dream,Alex Warren,pop,happy,0.75,115,0.75,0.75,0.2
57,Earrings,Malcolm Todd,indie pop,moody,0.65,118,0.62,0.68,0.35
58,When Did You Get Hot?,Sabrina Carpenter,pop,happy,0.75,115,0.75,0.75,0.2
59,Lush Life,Zara Larsson,pop,happy,0.75,115,0.75,0.75,0.2
60,Motion Party,BossMan Dlow,hip-hop,confident,0.75,95,0.7,0.85,0.15
61,Midnight Sun,Zara Larsson,pop,happy,0.75,115,0.75,0.75,0.2
62,The Great Divide,Noah Kahan,indie pop,moody,0.65,118,0.62,0.68,0.35
63,Days Like These,Luke Combs,country,nostalgic,0.55,96,0.65,0.6,0.7
64,Baby,Justin Bieber,pop,happy,0.75,115,0.75,0.75,0.2
65,What You Saying,Lil Uzi Vert,hip-hop,confident,0.75,95,0.7,0.85,0.15
66,Brunette,Tucker Wetmore,country,nostalgic,0.55,96,0.65,0.6,0.7
67,Runway,Lady Gaga,pop,happy,0.75,115,0.75,0.75,0.2
68,Elizabeth Taylor,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
69,Raindance,Dave,hip-hop,confident,0.75,95,0.7,0.85,0.15
70,Broken,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
71,We Know Us,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
72,You & Me Time,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
73,What He'll Never Have,Dylan Scott,country,nostalgic,0.55,96,0.65,0.6,0.7
74,Obvious,Chris Brown,r&b,romantic,0.6,85,0.75,0.7,0.4
75,McArthur,HARDY,country,nostalgic,0.55,96,0.65,0.6,0.7
76,FDO,Pooh Shiesty,hip-hop,confident,0.75,95,0.7,0.85,0.15
77,In My Room,Julia Wolf,pop,happy,0.75,115,0.75,0.75,0.2
78,Low Lights,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
79,Speaking Terms,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
80,Father,Ye,hip-hop,confident,0.75,95,0.7,0.85,0.15
81,What You Need,Tems,r&b,romantic,0.6,85,0.75,0.7,0.4
82,Turn This Truck Around,Jordan Davis,country,nostalgic,0.55,96,0.65,0.6,0.7
83,Beautiful Things,Megan Moroney,country,nostalgic,0.55,96,0.65,0.6,0.7
84,Don't We,Morgan Wallen,country,nostalgic,0.55,96,0.65,0.6,0.7
85,Body To Body,BTS,pop,happy,0.75,115,0.75,0.75,0.2
86,One Of Them,DJ Khaled,hip-hop,confident,0.75,95,0.7,0.85,0.15
87,Butterfly Season,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
88,Porch Light,Noah Kahan,indie pop,moody,0.65,118,0.62,0.68,0.35
89,Rein Me In,Sam Fender,indie pop,moody,0.65,118,0.62,0.68,0.35
90,Dry Spell,Kacey Musgraves,country,nostalgic,0.55,96,0.65,0.6,0.7
91,Somethin' Simple,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
92,Last Call For Us,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
93,Go Away,Weezer,rock,intense,0.85,140,0.5,0.6,0.1
94,Rethink Some Things,Luke Combs,country,nostalgic,0.55,96,0.65,0.6,0.7
95,Chanel,Tyla,r&b,romantic,0.6,85,0.75,0.7,0.4
96,I Gotta Quit,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
97,Mrs. Trendsetter,Lil Baby,hip-hop,confident,0.75,95,0.7,0.85,0.15
98,Mr. Know It All,Teddy Swims,r&b,romantic,0.6,85,0.75,0.7,0.4
99,It Wasn't God Who Made Honky Tonk Angels,Ella Langley,country,nostalgic,0.55,96,0.65,0.6,0.7
100,Ain't A Bad Life,Thomas Rhett,country,nostalgic,0.55,96,0.65,0.6,0.7
101,Hate How You Look,Josh Ross,country,nostalgic,0.55,96,0.65,0.6,0.7
102,All The Love,Ye,hip-hop,confident,0.75,95,0.7,0.85,0.15
103,Dano,Peso Pluma,pop,happy,0.75,115,0.75,0.75,0.2
104,2.0,BTS,pop,happy,0.75,115,0.75,0.75,0.2
105,Ever Since U Left Me,Max B,hip-hop,confident,0.75,95,0.7,0.85,0.15
106,Hooligan,BTS,pop,happy,0.75,115,0.75,0.75,0.2
107,Rocky Mountain Low,Corey Kent,country,nostalgic,0.55,96,0.65,0.6,0.7
108,Who Knows,Daniel Caesar,r&b,romantic,0.6,85,0.75,0.7,0.4
109,Don't Tell On Me,Jason Aldean,country,nostalgic,0.55,96,0.65,0.6,0.7
110,Zoo,Shakira,pop,happy,0.75,115,0.75,0.75,0.2
111,Plastic Cigarette,Zach Bryan,country,nostalgic,0.55,96,0.65,0.6,0.7
112,Woman,Kane Brown,country,nostalgic,0.55,96,0.65,0.6,0.7
113,Anti-Hero,Taylor Swift,pop,moody,0.75,115,0.75,0.75,0.2
114,Shake It Off,Taylor Swift,pop,happy,0.75,115,0.75,0.75,0.2
115,Blank Space,Taylor Swift,pop,moody,0.75,115,0.75,0.75,0.2
116,Cruel Summer,Taylor Swift,pop,energized,0.75,115,0.75,0.75,0.2
117,Love Story,Taylor Swift,pop,romantic,0.75,115,0.75,0.75,0.2
118,Cardigan,Taylor Swift,indie pop,melancholic,0.65,118,0.62,0.68,0.35
119,August,Taylor Swift,indie pop,nostalgic,0.65,118,0.62,0.68,0.35
120,All Too Well (Ten Minute Version),Taylor Swift,pop,melancholic,0.75,115,0.75,0.75,0.2
121,7 Rings,Ariana Grande,pop,confident,0.75,115,0.75,0.75,0.2
122,Thank U Next,Ariana Grande,pop,confident,0.75,115,0.75,0.75,0.2
123,No Tears Left to Cry,Ariana Grande,pop,uplifting,0.75,115,0.75,0.75,0.2
124,God is a Woman,Ariana Grande,pop,powerful,0.75,115,0.75,0.75,0.2
125,Problem,Ariana Grande,pop,happy,0.75,115,0.75,0.75,0.2
126,Into You,Ariana Grande,pop,romantic,0.75,115,0.75,0.75,0.2
127,Bad Guy,Billie Eilish,pop,confident,0.75,115,0.75,0.75,0.2
128,Ocean Eyes,Billie Eilish,pop,melancholic,0.75,115,0.75,0.75,0.2
129,Therefore I Am,Billie Eilish,pop,confident,0.75,115,0.75,0.75,0.2
130,Happier Than Ever,Billie Eilish,pop,moody,0.75,115,0.75,0.75,0.2
131,What Was I Made For?,Billie Eilish,pop,melancholic,0.75,115,0.75,0.75,0.2
132,Lovely,Billie Eilish,pop,melancholic,0.75,115,0.75,0.75,0.2
133,Circles,Post Malone,pop,melancholic,0.75,115,0.75,0.75,0.2
134,Sunflower,Post Malone,pop,happy,0.75,115,0.75,0.75,0.2
135,Rockstar,Post Malone,hip-hop,confident,0.75,95,0.7,0.85,0.15
136,Better Now,Post Malone,pop,melancholic,0.75,115,0.75,0.75,0.2
137,White Iverson,Post Malone,hip-hop,confident,0.75,95,0.7,0.85,0.15
138,Bad Romance,Lady Gaga,pop,intense,0.75,115,0.75,0.75,0.2
139,Poker Face,Lady Gaga,pop,confident,0.75,115,0.75,0.75,0.2
140,Just Dance,Lady Gaga,edm,euphoric,0.92,138,0.85,0.92,0.05
141,Telephone,Lady Gaga,pop,energized,0.75,115,0.75,0.75,0.2
142,Shallow,Lady Gaga,pop,powerful,0.75,115,0.75,0.75,0.2
143,Roar,Katy Perry,pop,powerful,0.75,115,0.75,0.75,0.2
144,Firework,Katy Perry,pop,uplifting,0.75,115,0.75,0.75,0.2
145,Teenage Dream,Katy Perry,pop,happy,0.75,115,0.75,0.75,0.2
146,Dark Horse,Katy Perry,pop,moody,0.75,115,0.75,0.75,0.2
147,Flowers,Miley Cyrus,pop,uplifting,0.75,115,0.75,0.75,0.2
148,Midnight Sky,Miley Cyrus,pop,moody,0.75,115,0.75,0.75,0.2
149,Don't Start Now,Dua Lipa,pop,confident,0.75,115,0.75,0.75,0.2
150,Physical,Dua Lipa,pop,energized,0.75,115,0.75,0.75,0.2
151,New Rules,Dua Lipa,pop,confident,0.75,115,0.75,0.75,0.2
152,Save Your Tears,The Weeknd,pop,melancholic,0.75,115,0.75,0.75,0.2
153,Can't Feel My Face,The Weeknd,pop,happy,0.75,115,0.75,0.75,0.2
154,Starboy,The Weeknd,synthwave,confident,0.72,108,0.5,0.72,0.22
155,Earned It,The Weeknd,r&b,romantic,0.6,85,0.75,0.7,0.4
156,As It Was,Harry Styles,pop,melancholic,0.75,115,0.75,0.75,0.2
157,Adore You,Harry Styles,pop,romantic,0.75,115,0.75,0.75,0.2
158,Late Night Talking,Harry Styles,pop,happy,0.75,115,0.75,0.75,0.2
159,Golden,Harry Styles,pop,happy,0.75,115,0.75,0.75,0.2
160,drivers license,Olivia Rodrigo,pop,melancholic,0.75,115,0.75,0.75,0.2
161,good 4 u,Olivia Rodrigo,pop,energized,0.75,115,0.75,0.75,0.2
162,brutal,Olivia Rodrigo,pop,angry,0.75,115,0.75,0.75,0.2
163,vampire,Olivia Rodrigo,pop,moody,0.75,115,0.75,0.75,0.2
164,traitor,Olivia Rodrigo,pop,melancholic,0.75,115,0.75,0.75,0.2
165,deja vu,Olivia Rodrigo,pop,nostalgic,0.75,115,0.75,0.75,0.2
166,Espresso,Sabrina Carpenter,pop,confident,0.75,115,0.75,0.75,0.2
167,Please Please Please,Sabrina Carpenter,pop,hopeful,0.75,115,0.75,0.75,0.2
168,Feather,Sabrina Carpenter,pop,happy,0.75,115,0.75,0.75,0.2
169,Good Luck Babe,Chappell Roan,pop,moody,0.75,115,0.75,0.75,0.2
170,Pink Pony Club,Chappell Roan,pop,euphoric,0.75,115,0.75,0.75,0.2
171,Can't Stop the Feeling!,Justin Timberlake,pop,happy,0.75,115,0.75,0.75,0.2
172,Cry Me a River,Justin Timberlake,r&b,moody,0.6,85,0.75,0.7,0.4
173,SexyBack,Justin Timberlake,pop,confident,0.75,115,0.75,0.75,0.2
174,Mirrors,Justin Timberlake,pop,romantic,0.75,115,0.75,0.75,0.2
175,Attention,Charlie Puth,pop,confident,0.75,115,0.75,0.75,0.2
176,We Don't Talk Anymore,Charlie Puth,pop,melancholic,0.75,115,0.75,0.75,0.2
177,Perfect,Ed Sheeran,pop,romantic,0.75,115,0.75,0.75,0.2
178,Thinking Out Loud,Ed Sheeran,pop,romantic,0.75,115,0.75,0.75,0.2
179,Bad Habits,Ed Sheeran,pop,happy,0.75,115,0.75,0.75,0.2
180,Shivers,Ed Sheeran,pop,happy,0.75,115,0.75,0.75,0.2
181,Hello,Adele,pop,melancholic,0.75,115,0.75,0.75,0.2
182,Someone Like You,Adele,pop,melancholic,0.75,115,0.75,0.75,0.2
183,Easy On Me,Adele,pop,melancholic,0.75,115,0.75,0.75,0.2
184,Skyfall,Adele,pop,powerful,0.75,115,0.75,0.75,0.2
185,Stay With Me,Sam Smith,pop,melancholic,0.75,115,0.75,0.75,0.2
186,Writing's on the Wall,Sam Smith,pop,melancholic,0.75,115,0.75,0.75,0.2
187,Take Me to Church,Hozier,indie pop,moody,0.65,118,0.62,0.68,0.35
188,Work Song,Hozier,indie pop,sentimental,0.65,118,0.62,0.68,0.35
189,Royals,Lorde,pop,confident,0.75,115,0.75,0.75,0.2
190,Green Light,Lorde,pop,happy,0.75,115,0.75,0.75,0.2
191,Stitches,Shawn Mendes,pop,melancholic,0.75,115,0.75,0.75,0.2
192,Treat You Better,Shawn Mendes,pop,hopeful,0.75,115,0.75,0.75,0.2
193,Havana,Camila Cabello,latin,happy,0.72,105,0.8,0.85,0.3
194,Happy,Pharrell Williams,pop,happy,0.75,115,0.75,0.75,0.2
195,Uptown Funk,Mark Ronson,pop,groovy,0.75,115,0.75,0.75,0.2
196,Just the Way You Are,Bruno Mars,pop,romantic,0.75,115,0.75,0.75,0.2
197,Grenade,Bruno Mars,pop,melancholic,0.75,115,0.75,0.75,0.2
198,24K Magic,Bruno Mars,pop,happy,0.75,115,0.75,0.75,0.2
199,Talking to the Moon,Bruno Mars,pop,melancholic,0.75,115,0.75,0.75,0.2
200,HUMBLE.,Kendrick Lamar,hip-hop,confident,0.75,95,0.7,0.85,0.15
201,Not Like Us,Kendrick Lamar,hip-hop,angry,0.75,95,0.7,0.85,0.15
202,DNA.,Kendrick Lamar,hip-hop,confident,0.75,95,0.7,0.85,0.15
203,Alright,Kendrick Lamar,hip-hop,hopeful,0.75,95,0.7,0.85,0.15
204,Swimming Pools (Drank),Kendrick Lamar,hip-hop,moody,0.75,95,0.7,0.85,0.15
205,Money Trees,Kendrick Lamar,hip-hop,melancholic,0.75,95,0.7,0.85,0.15
206,God's Plan,Drake,hip-hop,confident,0.75,95,0.7,0.85,0.15
207,In My Feelings,Drake,hip-hop,groovy,0.75,95,0.7,0.85,0.15
208,One Dance,Drake,afrobeats,happy,0.72,105,0.82,0.88,0.22
209,Started From the Bottom,Drake,hip-hop,confident,0.75,95,0.7,0.85,0.15
210,Nice For What,Drake,hip-hop,confident,0.75,95,0.7,0.85,0.15
211,SICKO MODE,Travis Scott,hip-hop,intense,0.75,95,0.7,0.85,0.15
212,Goosebumps,Travis Scott,hip-hop,moody,0.75,95,0.7,0.85,0.15
213,Antidote,Travis Scott,hip-hop,energized,0.75,95,0.7,0.85,0.15
214,HIGHEST IN THE ROOM,Travis Scott,hip-hop,dreamy,0.75,95,0.7,0.85,0.15
215,Butterfly Effect,Travis Scott,hip-hop,moody,0.75,95,0.7,0.85,0.15
216,No Role Modelz,J. Cole,hip-hop,confident,0.75,95,0.7,0.85,0.15
217,MIDDLE CHILD,J. Cole,hip-hop,confident,0.75,95,0.7,0.85,0.15
218,Power Trip,J. Cole,hip-hop,romantic,0.75,95,0.7,0.85,0.15
219,WAP,Cardi B,hip-hop,confident,0.75,95,0.7,0.85,0.15
220,Bodak Yellow,Cardi B,hip-hop,confident,0.75,95,0.7,0.85,0.15
221,Savage,Megan Thee Stallion,hip-hop,confident,0.75,95,0.7,0.85,0.15
222,Body,Megan Thee Stallion,hip-hop,confident,0.75,95,0.7,0.85,0.15
223,Super Bass,Nicki Minaj,pop,confident,0.75,115,0.75,0.75,0.2
224,Starships,Nicki Minaj,pop,euphoric,0.75,115,0.75,0.75,0.2
225,Anaconda,Nicki Minaj,hip-hop,confident,0.75,95,0.7,0.85,0.15
226,Mask Off,Future,trap,moody,0.78,140,0.55,0.8,0.08
227,Life Is Good,Future,hip-hop,confident,0.75,95,0.7,0.85,0.15
228,Say So,Doja Cat,pop,happy,0.75,115,0.75,0.75,0.2
229,Kiss Me More,Doja Cat,pop,romantic,0.75,115,0.75,0.75,0.2
230,Streets,Doja Cat,r&b,romantic,0.6,85,0.75,0.7,0.4
231,Need to Know,Doja Cat,pop,romantic,0.75,115,0.75,0.75,0.2
232,Drip Too Hard,Lil Baby,hip-hop,confident,0.75,95,0.7,0.85,0.15
233,EARFQUAKE,Tyler the Creator,r&b,romantic,0.6,85,0.75,0.7,0.4
234,See You Again,Tyler the Creator,r&b,melancholic,0.6,85,0.75,0.7,0.4
235,What's Poppin,Jack Harlow,hip-hop,confident,0.75,95,0.7,0.85,0.15
236,The Box,Roddy Ricch,hip-hop,confident,0.75,95,0.7,0.85,0.15
237,What You Know Bout Love,Pop Smoke,hip-hop,moody,0.75,95,0.7,0.85,0.15
238,Lucid Dreams,Juice WRLD,pop,melancholic,0.75,115,0.75,0.75,0.2
239,Legends,Juice WRLD,pop,melancholic,0.75,115,0.75,0.75,0.2
240,Bank Account,21 Savage,hip-hop,confident,0.75,95,0.7,0.85,0.15
241,Pop Out,Polo G,hip-hop,melancholic,0.75,95,0.7,0.85,0.15
242,Crazy in Love,Beyonce,r&b,confident,0.6,85,0.75,0.7,0.4
243,Halo,Beyonce,pop,romantic,0.75,115,0.75,0.75,0.2
244,CUFF IT,Beyonce,r&b,groovy,0.6,85,0.75,0.7,0.4
245,BREAK MY SOUL,Beyonce,edm,uplifting,0.92,138,0.85,0.92,0.05
246,Love On Top,Beyonce,r&b,happy,0.6,85,0.75,0.7,0.4
