id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
247,Drunk in Love,Beyonce,r&b,romantic,0.6,85,0.75,0.7,0.4
248,Umbrella,Rihanna,pop,confident,0.75,115,0.75,0.75,0.2
249,We Found Love,Rihanna,edm,euphoric,0.92,138,0.85,0.92,0.05
250,Diamonds,Rihanna,pop,hopeful,0.75,115,0.75,0.75,0.2
251,Stay,Rihanna,pop,melancholic,0.75,115,0.75,0.75,0.2
252,Thinking Bout You,Frank Ocean,r&b,romantic,0.6,85,0.75,0.7,0.4
253,Pink + White,Frank Ocean,r&b,peaceful,0.6,85,0.75,0.7,0.4
254,Nights,Frank Ocean,r&b,melancholic,0.6,85,0.75,0.7,0.4
255,Kill Bill,SZA,r&b,moody,0.6,85,0.75,0.7,0.4
256,Good Days,SZA,r&b,dreamy,0.6,85,0.75,0.7,0.4
257,Nobody Gets Me,SZA,r&b,melancholic,0.6,85,0.75,0.7,0.4
258,Snooze,SZA,r&b,dreamy,0.6,85,0.75,0.7,0.4
259,Shirt,SZA,r&b,confident,0.6,85,0.75,0.7,0.4
260,Best Part,H.E.R.,r&b,romantic,0.6,85,0.75,0.7,0.4
261,Focus,H.E.R.,r&b,confident,0.6,85,0.75,0.7,0.4
262,All of Me,John Legend,pop,romantic,0.75,115,0.75,0.75,0.2
263,Ordinary People,John Legend,r&b,romantic,0.6,85,0.75,0.7,0.4
264,Yeah!,Usher,r&b,happy,0.6,85,0.75,0.7,0.4
265,Confessions Part II,Usher,r&b,melancholic,0.6,85,0.75,0.7,0.4
266,No One,Alicia Keys,pop,hopeful,0.75,115,0.75,0.75,0.2
267,Fallin',Alicia Keys,r&b,romantic,0.6,85,0.75,0.7,0.4
268,Girl on Fire,Alicia Keys,pop,powerful,0.75,115,0.75,0.75,0.2
269,Rehab,Amy Winehouse,soul,melancholic,0.55,88,0.72,0.68,0.5
270,Back to Black,Amy Winehouse,soul,melancholic,0.55,88,0.72,0.68,0.5
271,Valerie,Amy Winehouse,soul,uplifting,0.55,88,0.72,0.68,0.5
272,Let's Get It On,Marvin Gaye,soul,romantic,0.55,88,0.72,0.68,0.5
273,What's Going On,Marvin Gaye,soul,melancholic,0.55,88,0.72,0.68,0.5
274,I Will Always Love You,Whitney Houston,pop,romantic,0.75,115,0.75,0.75,0.2
275,Greatest Love of All,Whitney Houston,pop,hopeful,0.75,115,0.75,0.75,0.2
276,Superstition,Stevie Wonder,soul,groovy,0.55,88,0.72,0.68,0.5
277,Isn't She Lovely,Stevie Wonder,soul,happy,0.55,88,0.72,0.68,0.5
278,Sir Duke,Stevie Wonder,soul,happy,0.55,88,0.72,0.68,0.5
279,Stairway to Heaven,Led Zeppelin,rock,powerful,0.85,140,0.5,0.6,0.1
280,Black Dog,Led Zeppelin,rock,energized,0.85,140,0.5,0.6,0.1
281,Whole Lotta Love,Led Zeppelin,rock,intense,0.85,140,0.5,0.6,0.1
282,Kashmir,Led Zeppelin,rock,powerful,0.85,140,0.5,0.6,0.1
283,Hey Jude,The Beatles,rock,uplifting,0.85,140,0.5,0.6,0.1
284,Let It Be,The Beatles,rock,peaceful,0.85,140,0.5,0.6,0.1
285,Come Together,The Beatles,rock,groovy,0.85,140,0.5,0.6,0.1
286,Yesterday,The Beatles,folk,melancholic,0.35,70,0.45,0.45,0.88
287,Here Comes the Sun,The Beatles,folk,hopeful,0.35,70,0.45,0.45,0.88
288,Blackbird,The Beatles,folk,hopeful,0.35,70,0.45,0.45,0.88
289,Thunderstruck,AC/DC,rock,energized,0.85,140,0.5,0.6,0.1
290,Back in Black,AC/DC,rock,intense,0.85,140,0.5,0.6,0.1
291,Highway to Hell,AC/DC,rock,energized,0.85,140,0.5,0.6,0.1
292,Everlong,Foo Fighters,rock,intense,0.85,140,0.5,0.6,0.1
293,Best of You,Foo Fighters,rock,powerful,0.85,140,0.5,0.6,0.1
294,Times Like These,Foo Fighters,rock,hopeful,0.85,140,0.5,0.6,0.1
295,Under the Bridge,Red Hot Chili Peppers,rock,melancholic,0.85,140,0.5,0.6,0.1
296,Californication,Red Hot Chili Peppers,rock,melancholic,0.85,140,0.5,0.6,0.1
297,Can't Stop,Red Hot Chili Peppers,rock,energized,0.85,140,0.5,0.6,0.1
298,Sweet Child O' Mine,Guns N' Roses,rock,happy,0.85,140,0.5,0.6,0.1
299,November Rain,Guns N' Roses,rock,melancholic,0.85,140,0.5,0.6,0.1
300,Welcome to the Jungle,Guns N' Roses,rock,intense,0.85,140,0.5,0.6,0.1
301,Yellow,Coldplay,rock,romantic,0.85,140,0.5,0.6,0.1
302,Fix You,Coldplay,rock,hopeful,0.85,140,0.5,0.6,0.1
303,The Scientist,Coldplay,rock,melancholic,0.85,140,0.5,0.6,0.1
304,Viva la Vida,Coldplay,rock,uplifting,0.85,140,0.5,0.6,0.1
305,A Sky Full of Stars,Coldplay,edm,euphoric,0.92,138,0.85,0.92,0.05
306,Do I Wanna Know?,Arctic Monkeys,rock,moody,0.85,140,0.5,0.6,0.1
307,R U Mine?,Arctic Monkeys,rock,intense,0.85,140,0.5,0.6,0.1
308,505,Arctic Monkeys,rock,melancholic,0.85,140,0.5,0.6,0.1
309,I Wanna Be Yours,Arctic Monkeys,indie pop,romantic,0.65,118,0.62,0.68,0.35
310,Wonderwall,Oasis,rock,hopeful,0.85,140,0.5,0.6,0.1
311,Champagne Supernova,Oasis,rock,nostalgic,0.85,140,0.5,0.6,0.1
312,Don't Look Back in Anger,Oasis,rock,hopeful,0.85,140,0.5,0.6,0.1
313,Basket Case,Green Day,punk,energized,0.9,160,0.4,0.65,0.05
314,Boulevard of Broken Dreams,Green Day,rock,melancholic,0.85,140,0.5,0.6,0.1
315,Stressed Out,Twenty One Pilots,pop,melancholic,0.75,115,0.75,0.75,0.2
316,Ride,Twenty One Pilots,pop,happy,0.75,115,0.75,0.75,0.2
317,Radioactive,Imagine Dragons,rock,powerful,0.85,140,0.5,0.6,0.1
318,Demons,Imagine Dragons,rock,melancholic,0.85,140,0.5,0.6,0.1
319,Believer,Imagine Dragons,rock,powerful,0.85,140,0.5,0.6,0.1
320,Enemy,Imagine Dragons,alternative,moody,0.7,120,0.45,0.58,0.3
321,In the End,Linkin Park,rock,melancholic,0.85,140,0.5,0.6,0.1
322,Numb,Linkin Park,rock,melancholic,0.85,140,0.5,0.6,0.1
323,Crawling,Linkin Park,rock,melancholic,0.85,140,0.5,0.6,0.1
324,Supermassive Black Hole,Muse,rock,intense,0.85,140,0.5,0.6,0.1
325,Seven Nation Army,The White Stripes,rock,intense,0.85,140,0.5,0.6,0.1
326,Last Nite,The Strokes,indie pop,confident,0.65,118,0.62,0.68,0.35
327,Reptilia,The Strokes,indie pop,energized,0.65,118,0.62,0.68,0.35
328,Somebody Told Me,The Killers,rock,energized,0.85,140,0.5,0.6,0.1
329,Use Somebody,Kings of Leon,rock,hopeful,0.85,140,0.5,0.6,0.1
330,Sex on Fire,Kings of Leon,rock,intense,0.85,140,0.5,0.6,0.1
331,Get Lucky,Daft Punk,edm,groovy,0.92,138,0.85,0.92,0.05
332,Around the World,Daft Punk,edm,euphoric,0.92,138,0.85,0.92,0.05
333,Harder Better Faster Stronger,Daft Punk,edm,energized,0.92,138,0.85,0.92,0.05
334,Summer,Calvin Harris,edm,happy,0.92,138,0.85,0.92,0.05
335,Feel So Close,Calvin Harris,edm,uplifting,0.92,138,0.85,0.92,0.05
336,This Is What You Came For,Calvin Harris,edm,euphoric,0.92,138,0.85,0.92,0.05
337,Titanium,David Guetta,edm,powerful,0.92,138,0.85,0.92,0.05
338,Without You,David Guetta,edm,melancholic,0.92,138,0.85,0.92,0.05
339,Alone,Marshmello,edm,melancholic,0.92,138,0.85,0.92,0.05
340,Happier,Marshmello,pop,hopeful,0.75,115,0.75,0.75,0.2
341,Wolves,Marshmello,pop,intense,0.75,115,0.75,0.75,0.2
342,Closer,The Chainsmokers,pop,nostalgic,0.75,115,0.75,0.75,0.2
343,Something Just Like This,The Chainsmokers,pop,hopeful,0.75,115,0.75,0.75,0.2
344,Don't Let Me Down,The Chainsmokers,edm,intense,0.92,138,0.85,0.92,0.05
345,Firestone,Kygo,edm,peaceful,0.92,138,0.85,0.92,0.05
346,Stole the Show,Kygo,edm,melancholic,0.92,138,0.85,0.92,0.05
347,Wake Me Up,Avicii,edm,uplifting,0.92,138,0.85,0.92,0.05
348,The Nights,Avicii,edm,hopeful,0.92,138,0.85,0.92,0.05
349,Levels,Avicii,edm,euphoric,0.92,138,0.85,0.92,0.05
350,Bangarang,Skrillex,edm,energized,0.92,138,0.85,0.92,0.05
351,Lean On,Major Lazer,edm,uplifting,0.92,138,0.85,0.92,0.05
352,Clarity,Zedd,edm,uplifting,0.92,138,0.85,0.92,0.05
353,Don't You Worry Child,Swedish House Mafia,edm,hopeful,0.92,138,0.85,0.92,0.05
354,Animals,Martin Garrix,edm,intense,0.92,138,0.85,0.92,0.05
355,Rather Be,Clean Bandit,pop,happy,0.75,115,0.75,0.75,0.2
356,Rockabye,Clean Bandit,pop,melancholic,0.75,115,0.75,0.75,0.2
357,Pompeii,Bastille,pop,hopeful,0.75,115,0.75,0.75,0.2
358,Last Night,Morgan Wallen,country,nostalgic,0.55,96,0.65,0.6,0.7
359,Sand in My Boots,Morgan Wallen,country,nostalgic,0.55,96,0.65,0.6,0.7
360,More Than My Hometown,Morgan Wallen,country,nostalgic,0.55,96,0.65,0.6,0.7
361,Wasted on You,Morgan Wallen,country,melancholic,0.55,96,0.65,0.6,0.7
362,When It Rains It Pours,Luke Combs,country,happy,0.55,96,0.65,0.6,0.7
363,Beautiful Crazy,Luke Combs,country,romantic,0.55,96,0.65,0.6,0.7
364,Forever After All,Luke Combs,country,romantic,0.55,96,0.65,0.6,0.7
365,Tennessee Whiskey,Chris Stapleton,country,romantic,0.55,96,0.65,0.6,0.7
366,Fire Away,Chris Stapleton,country,melancholic,0.55,96,0.65,0.6,0.7
367,Broken Halos,Chris Stapleton,country,melancholic,0.55,96,0.65,0.6,0.7
368,Die a Happy Man,Thomas Rhett,country,romantic,0.55,96,0.65,0.6,0.7
369,T-Shirt,Thomas Rhett,country,happy,0.55,96,0.65,0.6,0.7
370,Heaven,Kane Brown,country,hopeful,0.55,96,0.65,0.6,0.7
371,Homesick,Kane Brown,country,nostalgic,0.55,96,0.65,0.6,0.7
372,Rainbow,Kacey Musgraves,country,hopeful,0.55,96,0.65,0.6,0.7
373,Slow Burn,Kacey Musgraves,country,peaceful,0.55,96,0.65,0.6,0.7
374,Butterflies,Kacey Musgraves,country,happy,0.55,96,0.65,0.6,0.7
375,Something in the Orange,Zach Bryan,country,melancholic,0.55,96,0.65,0.6,0.7
376,I Remember Everything,Zach Bryan,country,nostalgic,0.55,96,0.65,0.6,0.7
377,Heading South,Zach Bryan,folk,nostalgic,0.35,70,0.45,0.45,0.88
378,Heart Like a Truck,Lainey Wilson,country,uplifting,0.55,96,0.65,0.6,0.7
379,Watermelon Moonshine,Lainey Wilson,country,nostalgic,0.55,96,0.65,0.6,0.7
380,Whitehouse Road,Tyler Childers,country,nostalgic,0.55,96,0.65,0.6,0.7
381,Then,Brad Paisley,country,romantic,0.55,96,0.65,0.6,0.7
382,Jolene,Dolly Parton,country,melancholic,0.55,96,0.65,0.6,0.7
383,Ring of Fire,Johnny Cash,country,happy,0.55,96,0.65,0.6,0.7
384,Folsom Prison Blues,Johnny Cash,country,melancholic,0.55,96,0.65,0.6,0.7
385,So What,Miles Davis,jazz,chill,0.4,95,0.65,0.55,0.85
386,Kind of Blue,Miles Davis,jazz,chill,0.4,95,0.65,0.55,0.85
387,My Favorite Things,John Coltrane,jazz,focused,0.4,95,0.65,0.55,0.85
388,A Love Supreme,John Coltrane,jazz,peaceful,0.4,95,0.65,0.55,0.85
389,Watermelon Man,Herbie Hancock,jazz,groovy,0.4,95,0.65,0.55,0.85
390,Cantaloupe Island,Herbie Hancock,jazz,groovy,0.4,95,0.65,0.55,0.85
391,Don't Know Why,Norah Jones,jazz,melancholic,0.4,95,0.65,0.55,0.85
392,Come Away with Me,Norah Jones,jazz,peaceful,0.4,95,0.65,0.55,0.85
393,Feeling Good,Nina Simone,jazz,uplifting,0.4,95,0.65,0.55,0.85
394,I Put a Spell on You,Nina Simone,jazz,moody,0.4,95,0.65,0.55,0.85
395,What a Wonderful World,Louis Armstrong,jazz,happy,0.4,95,0.65,0.55,0.85
396,Summertime,Ella Fitzgerald,jazz,melancholic,0.4,95,0.65,0.55,0.85
397,Fly Me to the Moon,Frank Sinatra,jazz,romantic,0.4,95,0.65,0.55,0.85
398,The Way You Look Tonight,Frank Sinatra,jazz,romantic,0.4,95,0.65,0.55,0.85
399,A Change Is Gonna Come,Sam Cooke,soul,hopeful,0.55,88,0.72,0.68,0.5
400,(Sittin' On) The Dock of the Bay,Otis Redding,soul,melancholic,0.55,88,0.72,0.68,0.5
401,Stand by Me,Ben E. King,soul,hopeful,0.55,88,0.72,0.68,0.5
402,Dynamite,BTS,k-pop,happy,0.8,128,0.82,0.8,0.12
403,Butter,BTS,k-pop,groovy,0.8,128,0.82,0.8,0.12
404,Boy With Luv,BTS,k-pop,happy,0.8,128,0.82,0.8,0.12
405,How You Like That,BLACKPINK,k-pop,confident,0.8,128,0.82,0.8,0.12
406,Pink Venom,BLACKPINK,k-pop,confident,0.8,128,0.82,0.8,0.12
407,Lovesick Girls,BLACKPINK,k-pop,melancholic,0.8,128,0.82,0.8,0.12
408,Hype Boy,NewJeans,k-pop,euphoric,0.8,128,0.82,0.8,0.12
409,OMG,NewJeans,k-pop,happy,0.8,128,0.82,0.8,0.12
410,Attention,NewJeans,k-pop,chill,0.8,128,0.82,0.8,0.12
411,Fancy,TWICE,k-pop,confident,0.8,128,0.82,0.8,0.12
412,Feel Special,TWICE,k-pop,uplifting,0.8,128,0.82,0.8,0.12
413,Tití Me Preguntó,Bad Bunny,latin,happy,0.72,105,0.8,0.85,0.3
414,Efecto,Bad Bunny,latin,romantic,0.72,105,0.8,0.85,0.3
415,Me Porto Bonito,Bad Bunny,latin,happy,0.72,105,0.8,0.85,0.3
416,Dakiti,Bad Bunny,latin,confident,0.72,105,0.8,0.85,0.3
417,Hips Don't Lie,Shakira,latin,happy,0.72,105,0.8,0.85,0.3
418,Waka Waka,Shakira,pop,uplifting,0.75,115,0.75,0.75,0.2
419,Mi Gente,J Balvin,latin,happy,0.72,105,0.8,0.85,0.3
420,TUSA,KAROL G,latin,confident,0.72,105,0.8,0.85,0.3
421,Bichota,KAROL G,latin,confident,0.72,105,0.8,0.85,0.3
422,The Less I Know the Better,Tame Impala,indie pop,dreamy,0.65,118,0.62,0.68,0.35
423,Borderline,Tame Impala,indie pop,dreamy,0.65,118,0.62,0.68,0.35
424,Eventually,Tame Impala,indie pop,melancholic,0.65,118,0.62,0.68,0.35
425,Chamber of Reflection,Mac DeMarco,indie pop,melancholic,0.65,118,0.62,0.68,0.35
426,Ode to Viceroy,Mac DeMarco,indie pop,chill,0.65,118,0.62,0.68,0.35
427,Loving is Easy,Rex Orange County,indie pop,happy,0.65,118,0.62,0.68,0.35
428,Sunflower,Rex Orange County,indie pop,happy,0.65,118,0.62,0.68,0.35
429,Coffee,beabadoobee,indie pop,chill,0.65,118,0.62,0.68,0.35
430,Death Bed,Powfu,lofi,melancholic,0.4,78,0.58,0.6,0.75
431,Pretty Girl,Clairo,indie pop,chill,0.65,118,0.62,0.68,0.35
432,Sofia,Clairo,indie pop,melancholic,0.65,118,0.62,0.68,0.35
433,Supalonely,BENEE,indie pop,moody,0.65,118,0.62,0.68,0.35
434,Motion Sickness,Phoebe Bridgers,indie pop,melancholic,0.65,118,0.62,0.68,0.35
435,Garden Song,Phoebe Bridgers,folk,peaceful,0.35,70,0.45,0.45,0.88
436,Skinny Love,Bon Iver,folk,melancholic,0.35,70,0.45,0.45,0.88
437,Holocene,Bon Iver,folk,peaceful,0.35,70,0.45,0.45,0.88
438,White Winter Hymnal,Fleet Foxes,folk,peaceful,0.35,70,0.45,0.45,0.88
439,Helplessness Blues,Fleet Foxes,folk,melancholic,0.35,70,0.45,0.45,0.88
440,Bloodbuzz Ohio,The National,indie pop,melancholic,0.65,118,0.62,0.68,0.35
441,Slow Show,The National,indie pop,melancholic,0.65,118,0.62,0.68,0.35
442,Electric Feel,MGMT,indie pop,euphoric,0.65,118,0.62,0.68,0.35
443,Time to Pretend,MGMT,indie pop,dreamy,0.65,118,0.62,0.68,0.35
444,Little Talks,Of Monsters and Men,indie pop,uplifting,0.65,118,0.62,0.68,0.35
445,King of Anything,Sara Bareilles,pop,confident,0.75,115,0.75,0.75,0.2
446,Feather,Nujabes,lofi,chill,0.4,78,0.58,0.6,0.75
447,Aruarian Dance,Nujabes,lofi,chill,0.4,78,0.58,0.6,0.75
448,Luv(sic) Part 3,Nujabes,lofi,chill,0.4,78,0.58,0.6,0.75
449,Slow Dancing in the Dark,Joji,r&b,melancholic,0.6,85,0.75,0.7,0.4
450,Glimpse of Us,Joji,pop,melancholic,0.75,115,0.75,0.75,0.2
451,Run,Joji,pop,melancholic,0.75,115,0.75,0.75,0.2
452,Goodie Bag,Still Woozy,indie pop,dreamy,0.65,118,0.62,0.68,0.35
453,Can I Call You Tonight?,Dayglow,indie pop,dreamy,0.65,118,0.62,0.68,0.35
454,Retrograde,James Blake,ambient,melancholic,0.3,65,0.6,0.4,0.9
455,Limit to Your Love,James Blake,ambient,melancholic,0.3,65,0.6,0.4,0.9
456,Never Catch Me,Flying Lotus,lofi,dreamy,0.4,78,0.58,0.6,0.75
457,On & On,Erykah Badu,r&b,chill,0.6,85,0.75,0.7,0.4
458,Appletree,Erykah Badu,r&b,chill,0.6,85,0.75,0.7,0.4
459,Otherside,Red Hot Chili Peppers,rock,melancholic,0.85,140,0.5,0.6,0.1
460,Without Me,Eminem,hip-hop,confident,0.75,95,0.7,0.85,0.15
461,The Real Slim Shady,Eminem,hip-hop,confident,0.75,95,0.7,0.85,0.15
462,Still D.R.E.,Dr. Dre,hip-hop,confident,0.75,95,0.7,0.85,0.15
463,Nuthin' But a G Thang,Dr. Dre,hip-hop,groovy,0.75,95,0.7,0.85,0.15
464,California Love,2Pac,hip-hop,confident,0.75,95,0.7,0.85,0.15
465,Changes,2Pac,hip-hop,melancholic,0.75,95,0.7,0.85,0.15
466,Juicy,The Notorious B.I.G.,hip-hop,confident,0.75,95,0.7,0.85,0.15
467,Hypnotize,The Notorious B.I.G.,hip-hop,confident,0.75,95,0.7,0.85,0.15
468,99 Problems,Jay-Z,hip-hop,intense,0.75,95,0.7,0.85,0.15
469,Empire State of Mind,Jay-Z,pop,uplifting,0.75,115,0.75,0.75,0.2
470,Gold Digger,Kanye West,hip-hop,confident,0.75,95,0.7,0.85,0.15
471,Stronger,Kanye West,hip-hop,confident,0.75,95,0.7,0.85,0.15
472,Runaway,Kanye West,hip-hop,melancholic,0.75,95,0.7,0.85,0.15
473,Purple Rain,Prince,r&b,powerful,0.6,85,0.75,0.7,0.4
474,When Doves Cry,Prince,pop,melancholic,0.75,115,0.75,0.75,0.2
475,Raspberry Beret,Prince,pop,happy,0.75,115,0.75,0.75,0.2
476,Heroes,David Bowie,rock,uplifting,0.85,140,0.5,0.6,0.1
477,Space Oddity,David Bowie,rock,dreamy,0.85,140,0.5,0.6,0.1
478,Life on Mars?,David Bowie,rock,dreamy,0.85,140,0.5,0.6,0.1
479,Roxanne,The Police,rock,moody,0.85,140,0.5,0.6,0.1
480,Every Breath You Take,The Police,rock,melancholic,0.85,140,0.5,0.6,0.1
481,Don't Stop Believin',Journey,rock,hopeful,0.85,140,0.5,0.6,0.1
482,Sweet Home Alabama,Lynyrd Skynyrd,rock,happy,0.85,140,0.5,0.6,0.1
483,Hotel California,Eagles,rock,moody,0.85,140,0.5,0.6,0.1
484,Take It Easy,Eagles,rock,peaceful,0.85,140,0.5,0.6,0.1
485,Go Your Own Way,Fleetwood Mac,rock,intense,0.85,140,0.5,0.6,0.1
486,The Chain,Fleetwood Mac,rock,intense,0.85,140,0.5,0.6,0.1
487,Eye of the Tiger,Survivor,rock,energized,0.85,140,0.5,0.6,0.1
488,Don't Stop Me Now,Queen,rock,euphoric,0.85,140,0.5,0.6,0.1
489,We Will Rock You,Queen,rock,energized,0.85,140,0.5,0.6,0.1
490,Somebody to Love,Queen,rock,hopeful,0.85,140,0.5,0.6,0.1
491,Under Pressure,Queen,rock,intense,0.85,140,0.5,0.6,0.1
